Ragione Sociale,Forma Giuridica,Settore,Anno Fondazione,Partita IVA,Categoria,Dipendenti,Fatturato (milioni €),Telefono,Email,Sito Web,Indirizzo,CAP,Città,Provincia,Descrizione
Veneto Edile S.r.l.s.,S.r.l.s.,Manifatturiero,1994,93925681826,Micro impresa,6,1.68,+39 391 2796105,vendite@venetoedile.it,https://www.venetoedile.it,"Via Europa, 110 - 65030 Varese (VA)",65030,Varese,VA,"Realtà imprenditoriale italiana fondata nel 1994, specializzata nel settore manifatturiero. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 1.68 milioni di euro."
Ferrari-Gallo S.r.l.,S.r.l.,Artigianato,2023,25816700479,Micro impresa,7,0.76,+39 360 4196482,amministrazione@ferrarigallo.it,https://www.ferrarigallo.it,"Via XXV Aprile, 173 - 40190 Bologna (BO)",40190,Bologna,BO,"Da oltre 2 anni siamo specializzati nel settore artigianato. La nostra azienda, con sede a Bologna, conta 7 collaboratori e un fatturato di 0.76 milioni di euro."
L.U.R.J.,Ditta individuale,Servizi alla persona,2011,33793532556,Micro impresa,1,1.51,+39 091 5376242,ufficio@lurj.it,https://www.lurj.it,"Via XX Settembre, 66 - 19049 Parma (PR)",19049,Parma,PR,"PMI italiana attiva nel settore servizi alla persona dal 2011. Con 1 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Stampabuild S.n.c.,S.n.c.,Chimica,2004,66582608723,Micro impresa,1,0.85,+39 02 175838,ufficio@stampabuild.it,,"Via del Lavoro, 58 - 32034 Bergamo (BG)",32034,Bergamo,BG,"Da oltre 21 anni siamo specializzati nel settore chimica. La nostra azienda, con sede a Bergamo, conta 1 collaboratori e un fatturato di 0.85 milioni di euro."
E.S.O. S.r.l.,S.r.l.,Servizi alle imprese,1999,54131281400,Micro impresa,9,0.25,+39 081 4589961,vendite@eso.it,https://www.eso.it,"Viale delle Nazioni, 161 - 86053 Venezia (VE)",86053,Venezia,VE,"Da oltre 26 anni siamo specializzati nel settore servizi alle imprese. La nostra azienda, con sede a Venezia, conta 9 collaboratori e un fatturato di 0.25 milioni di euro."
Marche Legno S.r.l.,S.r.l.,Plastica,2022,91943287447,Micro impresa,3,1.79,+39 011 9721838,contatti@marchelegno.it,https://www.marchelegno.it,"Via Bologna, 191 - 25066 Prato (PO)",25066,Prato,PO,"PMI italiana attiva nel settore plastica dal 2022. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Lombardi - Moretti S.a.s.,S.a.s.,Servizi alle imprese,2019,17299854725,Micro impresa,5,1.21,+39 081 4492317,contatti@lombardimoretti.it,https://www.lombardimoretti.it,"Via Garibaldi, 69 - 91081 Como (CO)",91081,Como,CO,"PMI italiana attiva nel settore servizi alle imprese dal 2019. Con 5 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Lombardia Meccanica S.r.l.,S.r.l.,Commercio,2017,74225836935,Micro impresa,1,0.73,+39 045 6776376,ufficio@lombardiameccanica.it,https://www.lombardiameccanica.it,"Via II Giugno, 81 - 37166 Verona (VR)",37166,Verona,VR,"Fondata nel 2017, la nostra azienda opera nel settore commercio con 1 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Conti & Mancini,Ditta individuale,Plastica,2019,20971731195,Micro impresa,5,1.48,+39 010 9197430,contiemancini@gmail.com,https://www.contiemancini.it,"Viale dell'Indipendenza, 194 - 78025 Prato (PO)",78025,Prato,PO,Azienda a conduzione familiare con 6 anni di esperienza nel settore plastica. Siamo una micro impresa con 5 dipendenti e un fatturato annuo di 1.48 milioni di euro.
Rossi Meccanica S.a.s.,S.a.s.,Servizi alla persona,2011,01789999600,Piccola impresa,13,7.26,+39 045 5526249,contatti@rossimeccanica.it,https://www.rossimeccanica.it,"Via Roma, 40 - 52011 Varese (VA)",52011,Varese,VA,"Realtà imprenditoriale italiana fondata nel 2011, specializzata nel settore servizi alla persona. La nostra struttura conta 13 professionisti qualificati e ha un fatturato di 7.26 milioni di euro."
Esposito Meccanica S.r.l.,S.r.l.,Servizi alla persona,2003,84630039412,Media impresa,55,14.13,+39 055 3434764,vendite@espositomeccanica.it,https://www.espositomeccanica.it,"Via II Giugno, 120 - 35147 Padova (PD)",35147,Padova,PD,"Fondata nel 2003, la nostra azienda opera nel settore servizi alla persona con 55 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Moretti-Colombo S.r.l.,S.r.l.,Artigianato,2000,37037011579,Micro impresa,6,0.82,+39 051 2645590,vendite@moretticolombo.it,https://www.moretticolombo.it,"Via Fermi, 35 - 76059 Udine (UD)",76059,Udine,UD,"Realtà imprenditoriale italiana fondata nel 2000, specializzata nel settore artigianato. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 0.82 milioni di euro."
Colombo - Moretti,Ditta individuale,Elettronica,1987,24197506926,Micro impresa,8,1.56,+39 391 2974477,colombomoretti@gmail.com,https://www.colombomoretti.it,"Via Marconi, 171 - 91019 Catania (CT)",91019,Catania,CT,"PMI italiana attiva nel settore elettronica dal 1987. Con 8 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Termogroup S.a.s.,S.a.s.,Legno e arredo,2004,80199902591,Micro impresa,1,1.53,+39 055 7527735,vendite@termogroup.it,https://www.termogroup.it,"Via XX Settembre, 136 - 50126 Firenze (FI)",50126,Firenze,FI,"Fondata nel 2004, la nostra azienda opera nel settore legno e arredo con 1 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Umbria Stampa S.r.l.,S.r.l.,Servizi alla persona,2016,99797976062,Micro impresa,8,1.97,+39 051 3994321,umbriastampa@gmail.com,https://www.umbriastampa.it,"Via Milano, 125 - 80156 Napoli (NA)",80156,Napoli,NA,"Realtà imprenditoriale italiana fondata nel 2016, specializzata nel settore servizi alla persona. La nostra struttura conta 8 professionisti qualificati e ha un fatturato di 1.97 milioni di euro."
Elettrotech Società cooperativa,Società cooperativa,Agricoltura,2020,68558762680,Micro impresa,2,0.83,+39 051 996344,elettrotech@pec.it,,"Via I Maggio, 113 - 45066 Bergamo (BG)",45066,Bergamo,BG,"PMI italiana attiva nel settore agricoltura dal 2020. Con 2 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Tessilefood,Ditta individuale,Legno e arredo,2009,15835641420,Micro impresa,2,0.12,+39 081 3079208,vendite@tessilefood.it,https://www.tessilefood.it,"Via IV Novembre, 149 - 20100 Milano (MI)",20100,Milano,MI,"PMI italiana attiva nel settore legno e arredo dal 2009. Con 2 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Emilia Stampa S.r.l.,S.r.l.,Meccanica,2022,00757103471,Micro impresa,2,0.42,+39 091 8284840,emiliastampa@pec.it,,"Via I Maggio, 188 - 20099 Udine (UD)",20099,Udine,UD,"Da oltre 3 anni siamo specializzati nel settore meccanica. La nostra azienda, con sede a Udine, conta 2 collaboratori e un fatturato di 0.42 milioni di euro."
Gallo & Moretti S.r.l.,S.r.l.,Edilizia,1997,86334781485,Micro impresa,4,1.27,+39 02 7065863,amministrazione@galloemoretti.it,https://www.galloemoretti.it,"Via Venezia, 62 - 22045 Cagliari (CA)",22045,Cagliari,CA,Azienda a conduzione familiare con 28 anni di esperienza nel settore edilizia. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 1.27 milioni di euro.
O.B. S.r.l.,S.r.l.,Artigianato,1999,16097554890,Micro impresa,7,1.8,+39 391 7584583,ufficio@ob.it,https://www.ob.it,"Via Venezia, 187 - 52014 Palermo (PA)",52014,Palermo,PA,"Da oltre 26 anni siamo specializzati nel settore artigianato. La nostra azienda, con sede a Palermo, conta 7 collaboratori e un fatturato di 1.8 milioni di euro."
Veneto Impianti S.r.l.,S.r.l.,Agricoltura,2013,71018488439,Micro impresa,6,0.24,+39 055 6562998,ufficio@venetoimpianti.it,https://www.venetoimpianti.it,"Viale della Repubblica, 52 - 20185 Milano (MI)",20185,Milano,MI,"Realtà imprenditoriale italiana fondata nel 2013, specializzata nel settore agricoltura. La nostra struttura conta 6 professionisti qualificati e ha un fatturato di 0.24 milioni di euro."
Esposito Legno S.r.l.,S.r.l.,Manifatturiero,1998,81553525005,Micro impresa,1,0.16,+39 049 8337730,espositolegno@hotmail.it,https://www.espositolegno.it,"Via Garibaldi, 178 - 36033 Varese (VA)",36033,Varese,VA,"Fondata nel 1998, la nostra azienda opera nel settore manifatturiero con 1 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
De Luca-Ricci S.n.c.,S.n.c.,Turismo,2002,85622310094,Piccola impresa,30,9.67,+39 010 7635229,vendite@delucaricci.it,https://www.delucaricci.it,"Viale della Libertà, 11 - 83015 Prato (PO)",83015,Prato,PO,"Da oltre 23 anni siamo specializzati nel settore turismo. La nostra azienda, con sede a Prato, conta 30 collaboratori e un fatturato di 9.67 milioni di euro."
Lombardia Vetro Società cooperativa,Società cooperativa,Servizi alla persona,1996,67965118758,Micro impresa,1,1.8,+39 011 5758133,lombardiavetro@libero.it,https://www.lombardiavetro.it,"Viale dell'Indipendenza, 44 - 90032 Pescara (PE)",90032,Pescara,PE,"Fondata nel 1996, la nostra azienda opera nel settore servizi alla persona con 1 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Marino Servizi S.r.l.,S.r.l.,Tessile,1995,96000882956,Micro impresa,7,1.31,+39 391 5494788,marinoservizi@yahoo.it,https://www.marinoservizi.it,"Via Europa, 165 - 88091 Cagliari (CA)",88091,Cagliari,CA,"Realtà imprenditoriale italiana fondata nel 1995, specializzata nel settore tessile. La nostra struttura conta 7 professionisti qualificati e ha un fatturato di 1.31 milioni di euro."
Gallo & Bianchi S.n.c.,S.n.c.,Tessile,2023,05225109114,Piccola impresa,34,4.3,+39 011 7957894,ufficio@galloebianchi.it,https://www.galloebianchi.it,"Via Marconi, 54 - 20148 Milano (MI)",20148,Milano,MI,"Fondata nel 2023, la nostra azienda opera nel settore tessile con 34 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Alimentfood S.r.l.,S.r.l.,Alimentare,2023,80754695119,Micro impresa,3,1.22,+39 06 5554006,amministrazione@alimentfood.it,https://www.alimentfood.it,"Via Garibaldi, 190 - 80127 Napoli (NA)",80127,Napoli,NA,"Fondata nel 2023, la nostra azienda opera nel settore alimentare con 3 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Bruno-Greco S.n.c.,S.n.c.,Metalmeccanica,2017,40977905105,Micro impresa,4,0.31,+39 010 9671330,info@brunogreco.it,,"Viale della Repubblica, 172 - 20053 Bolzano (BZ)",20053,Bolzano,BZ,"Realtà imprenditoriale italiana fondata nel 2017, specializzata nel settore metalmeccanica. La nostra struttura conta 4 professionisti qualificati e ha un fatturato di 0.31 milioni di euro."
Ecotech S.a.s.,S.a.s.,Agricoltura,2018,09528495017,Piccola impresa,30,3.24,+39 345 8809684,amministrazione@ecotech.it,https://www.ecotech.it,"Viale dell'Indipendenza, 105 - 69084 Monza (MB)",69084,Monza,MB,Azienda a conduzione familiare con 7 anni di esperienza nel settore agricoltura. Siamo una piccola impresa con 30 dipendenti e un fatturato annuo di 3.24 milioni di euro.
Veneto Plastica S.n.c.,S.n.c.,Meccanica,2003,67755056709,Micro impresa,6,1.23,+39 393 6537308,info@venetoplastica.it,https://www.venetoplastica.it,"Via dell'Industria, 194 - 85069 Udine (UD)",85069,Udine,UD,"Fondata nel 2003, la nostra azienda opera nel settore meccanica con 6 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Legnotrade S.r.l.,S.r.l.,Tessile,2006,55977880082,Piccola impresa,30,6.35,+39 081 3113541,ufficio@legnotrade.it,https://www.legnotrade.it,"Via Firenze, 141 - 24013 Palermo (PA)",24013,Palermo,PA,"Realtà imprenditoriale italiana fondata nel 2006, specializzata nel settore tessile. La nostra struttura conta 30 professionisti qualificati e ha un fatturato di 6.35 milioni di euro."
Arredobuild S.r.l.,S.r.l.,Edilizia,2016,05596293518,Micro impresa,8,0.09,+39 02 7724682,arredobuild@gmail.com,https://www.arredobuild.it,"Via I Maggio, 141 - 46050 Cagliari (CA)",46050,Cagliari,CA,"Da oltre 9 anni siamo specializzati nel settore edilizia. La nostra azienda, con sede a Cagliari, conta 8 collaboratori e un fatturato di 0.09 milioni di euro."
N.M.,Ditta individuale,Plastica,1997,29331029359,Micro impresa,2,0.24,+39 02 5598150,ufficio@nm.it,https://www.nm.it,"Via dell'Industria, 174 - 85068 Venezia (VE)",85068,Venezia,VE,"PMI italiana attiva nel settore plastica dal 1997. Con 2 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
J.X.,Ditta individuale,Meccanica,2011,03411017897,Micro impresa,5,1.12,+39 328 3882651,amministrazione@jx.it,https://www.jx.it,"Via Marconi, 178 - 37151 Verona (VR)",37151,Verona,VR,"Realtà imprenditoriale italiana fondata nel 2011, specializzata nel settore meccanica. La nostra struttura conta 5 professionisti qualificati e ha un fatturato di 1.12 milioni di euro."
Moretti-Costa S.r.l.,S.r.l.,Elettronica,2008,58819740334,Micro impresa,5,0.46,+39 02 7892106,moretticosta@virgilio.it,https://www.moretticosta.it,"Viale della Libertà, 179 - 50147 Firenze (FI)",50147,Firenze,FI,"Fondata nel 2008, la nostra azienda opera nel settore elettronica con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Toscana Tessile S.r.l.,S.r.l.,Turismo,1998,19265388515,Micro impresa,7,0.5,+39 06 3121363,amministrazione@toscanatessile.it,https://www.toscanatessile.it,"Via dell'Artigianato, 129 - 74011 Prato (PO)",74011,Prato,PO,Azienda a conduzione familiare con 27 anni di esperienza nel settore turismo. Siamo una micro impresa con 7 dipendenti e un fatturato annuo di 0.5 milioni di euro.
Ricci Legno,Ditta individuale,Chimica,1980,40650881107,Micro impresa,4,0.9,+39 010 601966,info@riccilegno.it,https://www.riccilegno.it,"Via Mazzini, 35 - 50079 Bergamo (BG)",50079,Bergamo,BG,Azienda a conduzione familiare con 45 anni di esperienza nel settore chimica. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 0.9 milioni di euro.
Toscana Impianti S.n.c.,S.n.c.,Servizi alle imprese,2012,79716039284,Micro impresa,2,0.96,+39 02 7282411,info@toscanaimpianti.it,https://www.toscanaimpianti.it,"Via IV Novembre, 71 - 00130 Roma (RM)",00130,Roma,RM,Azienda a conduzione familiare con 13 anni di esperienza nel settore servizi alle imprese. Siamo una micro impresa con 2 dipendenti e un fatturato annuo di 0.96 milioni di euro.
Esposito Meccanica S.a.s.,S.a.s.,Servizi alle imprese,2023,57928739461,Micro impresa,2,0.88,+39 06 9702914,vendite@espositomeccanica.it,,"Via dell'Industria, 51 - 85032 Reggio Emilia (RE)",85032,Reggio Emilia,RE,"Realtà imprenditoriale italiana fondata nel 2023, specializzata nel settore servizi alle imprese. La nostra struttura conta 2 professionisti qualificati e ha un fatturato di 0.88 milioni di euro."
V.Q.H.Q.,Ditta individuale,Edilizia,1977,38762216530,Micro impresa,8,0.37,+39 055 5604380,amministrazione@vqhq.it,https://www.vqhq.it,"Via dell'Artigianato, 47 - 47074 Prato (PO)",47074,Prato,PO,"PMI italiana attiva nel settore edilizia dal 1977. Con 8 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Ricci Edilizia,Ditta individuale,Plastica,2020,27662011031,Media impresa,206,29.44,+39 02 5191587,vendite@ricciedilizia.it,https://www.ricciedilizia.it,"Via Edison, 39 - 10127 Torino (TO)",10127,Torino,TO,"Da oltre 5 anni siamo specializzati nel settore plastica. La nostra azienda, con sede a Torino, conta 206 collaboratori e un fatturato di 29.44 milioni di euro."
I.J. S.n.c.,S.n.c.,Meccanica,2021,46777134861,Micro impresa,1,0.19,+39 055 5247792,ij@gmail.com,https://www.ij.it,"Via Firenze, 111 - 10194 Torino (TO)",10194,Torino,TO,"PMI italiana attiva nel settore meccanica dal 2021. Con 1 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Bianchi Trasporti S.n.c.,S.n.c.,Edilizia,2011,38229857559,Piccola impresa,23,2.34,+39 338 2401162,vendite@bianchitrasporti.it,https://www.bianchitrasporti.it,"Viale delle Nazioni, 173 - 68021 Pescara (PE)",68021,Pescara,PE,"PMI italiana attiva nel settore edilizia dal 2011. Con 23 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Plastgroup S.r.l.,S.r.l.,Metalmeccanica,2019,57341741485,Micro impresa,1,1.05,+39 02 1240680,amministrazione@plastgroup.it,,"Via Torino, 111 - 51018 Como (CO)",51018,Como,CO,"PMI italiana attiva nel settore metalmeccanica dal 2019. Con 1 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
R.H.I. S.n.c.,S.n.c.,Legno e arredo,2013,11536283210,Micro impresa,2,1.85,+39 045 2493027,amministrazione@rhi.it,,"Via del Lavoro, 137 - 94063 Como (CO)",94063,Como,CO,"Da oltre 12 anni siamo specializzati nel settore legno e arredo. La nostra azienda, con sede a Como, conta 2 collaboratori e un fatturato di 1.85 milioni di euro."
Ferrari Legno Società cooperativa,Società cooperativa,Trasporti,1999,76517265676,Micro impresa,5,0.53,+39 091 9196136,vendite@ferrarilegno.it,https://www.ferrarilegno.it,"Via Firenze, 31 - 47020 Perugia (PG)",47020,Perugia,PG,"Fondata nel 1999, la nostra azienda opera nel settore trasporti con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Lombardia Impianti S.n.c.,S.n.c.,Plastica,2006,71359239993,Micro impresa,2,1.67,+39 011 5823536,contatti@lombardiaimpianti.it,https://www.lombardiaimpianti.it,"Viale delle Nazioni, 97 - 35125 Padova (PD)",35125,Padova,PD,Azienda a conduzione familiare con 19 anni di esperienza nel settore plastica. Siamo una micro impresa con 2 dipendenti e un fatturato annuo di 1.67 milioni di euro.
Rossi Meccanica S.r.l.,S.r.l.,Meccanica,2014,22803624926,Micro impresa,4,0.27,+39 011 5246971,contatti@rossimeccanica.it,https://www.rossimeccanica.it,"Via Fermi, 66 - 10107 Torino (TO)",10107,Torino,TO,Azienda a conduzione familiare con 11 anni di esperienza nel settore meccanica. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 0.27 milioni di euro.
Rossi-Esposito S.r.l.,S.r.l.,Tessile,2021,21848414539,Micro impresa,3,1.21,+39 051 7691153,info@rossiesposito.it,https://www.rossiesposito.it,"Via I Maggio, 32 - 28086 Bergamo (BG)",28086,Bergamo,BG,Azienda a conduzione familiare con 4 anni di esperienza nel settore tessile. Siamo una micro impresa con 3 dipendenti e un fatturato annuo di 1.21 milioni di euro.
